"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Gross domestic product (GDP) at basic prices, by industry, provinces and territories","36100402","379-0030","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610040201",1;2;60;63;64;77;85,"CURRENT - a cube available to the public and that is current","Annual","1997-01-01","2020-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Value",,""
"3","North American Industry Classification System (NAICS)",85;93;110,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Newfoundland and Labrador","[10]","1","","",,
"1","Prince Edward Island","[11]","2","","",,
"1","Nova Scotia","[12]","3","","",,
"1","New Brunswick","[13]","4","","",,
"1","Quebec","[24]","5","","",,
"1","Ontario","[35]","6","","",,
"1","Manitoba","[46]","7","","",,
"1","Saskatchewan","[47]","8","","",,
"1","Alberta","[48]","9","","",,
"1","British Columbia","[59]","10","","",,
"1","Yukon","[60]","11","","",,
"1","Northwest Territories","[61]","12","","",,
"1","Nunavut","[62]","13","","",,
"2","Current dollars","","1","","",,
"2","Chained (2012) dollars","","2","","",76,
"2","Contributions to percent change","","3","","",65,
"3","All industries","[T001]","1","","",3,
"3","Goods-producing industries","[T002]","2","1","",4,
"3","Service-producing industries","[T003]","3","1","",5,
"3","Industrial production","[T010]","4","1","",6,
"3","Non-durable manufacturing industries","[T011]","5","1","",7,
"3","Durable manufacturing industries","[T012]","6","1","",8,
"3","Information and communication technology sector","[T013]","7","1","",9,
"3","Information and communication technology, manufacturing","[T014]","8","7","",10,
"3","Information and communication technology, services","[T015]","9","7","",11,
"3","Energy sector","[T016]","10","1","",12,
"3","Agriculture, forestry, fishing and hunting","[11]","11","1","",,
"3","Crop and animal production","[11A]","12","11","",13,
"3","Crop production","[111]","13","12","",,
"3","Greenhouse, nursery and floriculture production (except cannabis)","[1114A]","14","326","",96,
"3","Crop production (except cannabis, greenhouse, nursery and floriculture production)","[111A]","15","326","",108,
"3","Animal production and aquaculture","[112]","16","12","",,
"3","Forestry and logging","[113]","17","11","",,
"3","Fishing, hunting and trapping","[114]","18","11","",,
"3","Support activities for agriculture and forestry","[115]","19","11","",,
"3","Support activities for forestry","[1153]","20","19","",,
"3","Support activities for crop and animal production","[115A]","21","19","",15,
"3","Mining, quarrying, and oil and gas extraction","[21]","22","1","",,
"3","Oil and gas extraction","[211]","23","22","",,
"3","Oil and gas extraction (except oil sands)","[21111]","24","23","",94,
"3","Oil sands extraction","[21114]","25","23","",95,
"3","Mining and quarrying (except oil and gas)","[212]","26","22","",,
"3","Coal mining","[2121]","27","26","",,
"3","Metal ore mining","[2122]","28","26","",,
"3","Iron ore mining","[21221]","29","28","",,
"3","Gold and silver ore mining","[21222]","30","28","",,
"3","Copper, nickel, lead and zinc ore mining","[21223]","31","28","",,
"3","Other metal ore mining","[21229]","32","28","",,
"3","Non-metallic mineral mining and quarrying","[2123]","33","26","",,
"3","Stone mining and quarrying","[21231]","34","33","",,
"3","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","[21232]","35","33","",,
"3","Diamond mining","[212392]","36","309","",,
"3","Potash mining","[212396]","37","309","",,
"3","Other non-metallic mineral mining and quarrying (except diamond and potash)","[21239A]","38","309","",16,
"3","Support activities for mining, and oil and gas extraction","[213]","39","22","",,
"3","Support activities for oil and gas extraction","[21311A]","40","39","",17,
"3","Support activities for mining","[21311B]","41","39","",18,
"3","Utilities","[22]","42","1","",,
"3","Electric power generation, transmission and distribution","[2211]","43","42","",,
"3","Natural gas distribution, water, sewage and other systems","[221A]","44","42","",19,
"3","Natural gas distribution","[2212]","45","44","",,
"3","Water, sewage and other systems","[2213]","46","44","",,
"3","Construction","[23]","47","1","",,
"3","Residential building construction","[23A]","48","47","",20,
"3","Non-residential building construction","[23B]","49","47","",20,
"3","Engineering construction","[23C]","50","310","",20,
"3","Transportation engineering construction","[23C1]","51","50","",20,
"3","Oil and gas engineering construction","[23C2]","52","50","",20,
"3","Electric power engineering construction","[23C3]","53","50","",20,
