"REF_DATE","GEO","DGUID","North American Product Classification System (NAPCS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1956-01","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.3","","","","1"
"1956-02","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.3","","","","1"
"1956-03","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.4","","","","1"
"1956-04","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.4","","","","1"
"1956-05","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.4","","","","1"
"1956-06","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.5","","","","1"
"1956-07","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.4","","","","1"
"1956-08","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.5","","","","1"
"1956-09","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.5","","","","1"
"1956-10","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.5","","","","1"
"1956-11","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.6","","","","1"
"1956-12","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.6","","","","1"
"1957-01","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1957-02","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1957-03","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1957-04","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1957-05","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1957-06","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1957-07","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1957-08","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1957-09","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1957-10","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1957-11","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1957-12","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1958-01","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1958-02","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1958-03","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1958-04","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1958-05","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1958-06","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1958-07","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1958-08","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1958-09","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1958-10","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.7","","","","1"
"1958-11","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1958-12","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1959-01","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1959-02","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1959-03","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1959-04","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1959-05","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1959-06","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1959-07","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1959-08","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1959-09","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.9","","","","1"
"1959-10","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1959-11","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1959-12","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1960-01","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.9","","","","1"
"1960-02","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1960-03","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1960-04","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.9","","","","1"
"1960-05","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.8","","","","1"
"1960-06","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.9","","","","1"
"1960-07","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.9","","","","1"
"1960-08","Canada","2016A000011124","Total, Industrial product price index (IPPI)","Index, 202001=100","403","units","0","v1230995983","1.1","13.9","","","","1"
