"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Industrial product price index, by product, monthly","18100266",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810026601",1;2;3,"CURRENT - a cube available to the public and that is current","Monthly","1956-01-01","2021-12-01","2",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","North American Product Classification System (NAPCS)",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",,
"2","Total, Industrial product price index (IPPI)","","1","","",,
"2","Meat, fish and dairy products","[P11]","2","1","",,
"2","Prepared and packaged seafood products","[171]","3","2","",,
"2","Prepared and packaged seafood products","[17111]","4","3","",,
"2","Meat products","[172]","5","2","",,
"2","Fresh and frozen beef and veal","[17211]","6","5","",,
"2","Fresh and frozen pork","[17212]","7","5","",,
"2","Fresh and frozen poultry of all types","[17213]","8","5","",,
"2","Fresh and frozen lamb, mutton and goat meat","[17214]","9","5","",,
"2","Processed meat products, other meats, and animal by-products","[17215]","10","5","",,
"2","Dairy products","[173]","11","2","",,
"2","Processed fluid milk and milk products","[17311]","12","11","",,
"2","Butter, and dry and canned dairy products","[17312]","13","11","",,
"2","Cheese and cheese products","[17313]","14","11","",,
"2","Ice cream, sherbet and similar frozen desserts","[17314]","15","11","",,
"2","Fruit, vegetables, feed and other food products","[P12]","16","1","",,
"2","Animal feed","[181]","17","16","",,
"2","Dog and cat food","[18111]","18","17","",,
"2","Other animal feed","[18112]","19","17","",,
"2","Intermediate food products","[182]","20","16","",,
"2","Margarine and cooking oils","[18211]","21","20","",,
"2","Flour and other grain mill products","[18212]","22","20","",,
"2","Grain and oilseed products, n.e.c.","[18213]","23","20","",,
"2","Sugar and sugar mill by-products","[18214]","24","20","",,
"2","Other food products","[183]","25","16","",,
"2","Breakfast cereal and other cereal products","[18311]","26","25","",,
"2","Flour mixes, dough and dry pasta","[18312]","27","25","",,
"2","Bread, rolls and flatbreads","[18313]","28","25","",,
"2","Cookies, crackers and baked sweet goods","[18314]","29","25","",,
"2","Chocolate (except confectionery)","[18321]","30","25","",,
"2","Confectionery products","[18322]","31","25","",,
"2","Snack food products","[18331]","32","25","",,
"2","Flavouring syrups and extracts","[18341]","33","25","",,
"2","Vinegar, mayonnaise, non-tomato sauces, salt, spices and sauce mixes","[18342]","34","25","",,
"2","Ketchup, canned tomato sauces, and preserved fruit and vegetables","[18351]","35","25","",,
"2","Frozen foods, n.e.c.","[18352]","36","25","",,
"2","Other food products, n.e.c.","[18361]","37","25","",,
"2","Coffee and tea","[191]","38","16","",,
"2","Coffee and tea","[19111]","39","38","",,
"2","Frozen, fresh and canned fruit and vegetable juices","[192]","40","16","",,
"2","Frozen, fresh and canned fruit and vegetable juices","[19211]","41","40","",,
"2","Beverages (except juices)","[P13]","42","1","",,
"2","Carbonated and non-carbonated drinks (including low alcohol fermented drinks), bottled water and ice","[193]","43","42","",,
"2","Carbonated and non-carbonated drinks (including low alcohol fermented drinks), bottled water and ice","[19311]","44","43","",,
"2","Alcoholic beverages","[211]","45","42","",,
"2","Beer","[21111]","46","45","",,
"2","Wine and brandy","[21112]","47","45","",,
"2","Distilled liquor","[21113]","48","45","",,
"2","Tobacco products","[P14]","49","1","",,
"2","Tobacco products","[212]","50","49","",,
"2","Cigarettes, cigars, chewing and smoking tobacco","[21211]","51","50","",,
"2","Stemmed, redried or reconstituted tobacco","[21212]","52","50","",,
"2","Cannabis products (except seeds, plants, plant parts and fresh cannabis)","[P15]","53","1","",,
"2","Cannabis products (except seeds, plants, plant parts and fresh cannabis)","[213P]","54","53","",,
"2","Dried cannabis flowering tops (including leaves)","[21312P]","55","54","",,
"2","Cannabis products (except seeds, plants, and plant parts)","[21313]","56","54","",,
"2","Textile and leather products","[P21]","57","1","",,
"2","Fabric, fibre and yarn, and leather and dressed furs","[221]","58","57","",,
"2","Fabrics","[22111]","59","58","",,
"2","Fibre, yarn, and thread (except artificial and synthetic fibres and filaments)","[22112]","60","58","",,
"2","Leather and dressed furs","[22113]","61","58","",,
"2","Carpets, textile furnishings and other textile products","[232]","62","57","",,
"2","Carpets, rugs and mats","[23211]","63","62","",,
"2","Other textile furnishings","[23212]","64","62","",,
"2","Textile products, n.e.c.","[23213]","65","62","",,
"2","Clothing, footwear and accessories","[P22]","66","1","",,
"2","Clothing, footwear and accessories","[231]","67","66","",,
"2","Men's clothing","[23111]","68","67","",,
"2","Women's clothing","[23112]","69","67","",,
"2","Children's clothing","[23113]","70","67","",,
"2","Clothing accessories, vestments, costumes and unisex clothing","[23114]","71","67","",,
"2","Footwear","[23121]","72","67","",,
"2","Suitcases, handbags, and other leather and allied products","[23131]","73","67","",,
"2","Chemicals and chemical products","[P31]","74","1","",,
"2","Nuclear fuel","[145PA]","75","74","",,
"2","Nuclear fuel","[14511]","76","75","",,
"2","Dyes and pigments, and petrochemicals","[263]","77","74","",,
"2","Dyes and pigments","[26311]","78","77","",,
"2","Petrochemicals","[26321]","79","77","",,
"2","Basic chemicals","[271]","80","74","",,
"2","Industrial gases","[27111]","81","80","",,
"2","Other basic inorganic chemicals","[27112]","82","80","",,
"2","Basic organic chemicals, n.e.c.","[27113]","83","80","",,
"2","Fertilizers, pesticides and other chemical products","[272]","84","74","",,
"2","Ammonia and chemical fertilizers","[27211]","85","84","",,
"2","Pesticides and other agricultural chemicals","[27212]","86","84","",,
"2","Chemical products, n.e.c.","[27213]","87","84","",,
"2","Pharmaceutical and medicinal products","[273]","88","74","",,
