"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Income of individuals by age group, sex and income source, Canada, provinces and selected census metropolitan areas",11100239,206-0052,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110023901",1;2;3,"CURRENT - a cube available to the public and that is current",Annual,1976-01-01,2019-01-01,5

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,"Age group",,
3,Sex,,
4,"Income source",,
5,Statistics,,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,[11124],1,,,4,
1,"Atlantic provinces",[1],2,1,,,
1,"Newfoundland and Labrador",[10],3,2,,,
1,"Prince Edward Island",[11],4,2,,,
1,"Nova Scotia",[12],5,2,,,
1,"New Brunswick",[13],6,2,,,
1,Quebec,[24],7,1,,,
1,Ontario,[35],8,1,,,
1,"Prairie provinces",[4],9,1,,,
1,Manitoba,[46],10,9,,,
1,Saskatchewan,[47],11,9,,,
1,Alberta,[48],12,9,,,
1,"British Columbia",[59],13,1,,,
1,"Québec, Quebec",[421],14,1,,,
1,"Montréal, Quebec",[462],15,1,,,
1,"Ottawa-Gatineau, Ontario/Quebec",[505],16,1,,,
1,"Toronto, Ontario",[535],17,1,,,
1,"Winnipeg, Manitoba",[602],18,1,,,
1,"Calgary, Alberta",[825],19,1,,,
1,"Edmonton, Alberta",[835],20,1,,,
1,"Vancouver, British Columbia",[933],21,1,,,
2,"16 years and over",,1,,,,
2,"16 to 24 years",,2,1,,,
2,"25 to 54 years",,3,1,,,
2,"25 to 34 years",,4,3,,,
2,"35 to 44 years",,5,3,,,
2,"45 to 54 years",,6,3,,,
2,"55 to 64 years",,7,1,,,
2,"65 years and over",,8,1,,,
3,"Both sexes",,1,,,,
3,Males,,2,1,,,
3,Females,,3,1,,,
4,"Total income",,1,,,,
4,"Market income",,2,1,,,
4,"Employment income",,3,2,,,
4,"Wages, salaries and commissions",,4,3,,,
4,"Self-employment income",,5,3,,,
4,"Investment income",,6,2,,,
4,"Retirement income",,7,2,,,
4,"Other income",,8,2,,,
4,"Government transfers",,9,1,,,
4,"Old Age Security (OAS) and Guaranteed Income Supplement (GIS), Spouse's Allowance (SPA)",,10,9,,,
4,"Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits",,11,9,,,
4,"Child benefits",,12,9,,,
4,"Employment Insurance (EI) benefits",,13,9,,,
4,"Social assistance",,14,9,,,
4,"Other government transfers",,15,9,,,
5,"Number of persons",,1,,,,
5,"Number with income",,2,,,,
5,"Aggregate income",,3,,,,
5,"Average income (excluding zeros)",,4,,,,
5,"Median income (excluding zeros)",,5,,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
3502,"Survey of Consumer Finances"
3889,"Survey of Labour and Income Dynamics"
5200,"Canadian Income Survey"

"Subject Code","Subject Name"
11,"Income, pensions, spending and wealth"

"Note ID",Note
1,"Source: Centre for Income and Socioeconomic Well-being Statistics, Statistics Canada
"
2,"Data quality indicators are based on the coefficient of variation (CV) and number of observations. Quality indicators indicate the following: A - Excellent (CV between 0% and 2%); B - Very good (CV between 2% and 4%); C - Good (CV between 4% and 8%); D - Acceptable (CV between 8% and 16%); E - Use with caution (1976 to 1992: CV greater than or equal to 16%; 1993 and subsequent years: CV between 16% and 33.3% )."
3,"Estimates are based on data from the following surveys: the Survey of Consumer Finances (SCF) from 1976 to 1992, a combination of the SCF and the Survey of Labour and Income Dynamics (SLID) from 1993 to 1997, the SLID from 1998 to 2011 and the Canadian Income Survey (CIS) beginning in 2012. For more information, see Statistics Canada, 2015, ""Revisions to 2006 to 2011 income data"", Income Research Paper Series, Cat. no. 75F0002MIE - No. 003. Also, two previous revisions of income data are described in Cotton, Cathy, 2000, ""Bridging Two Surveys: An Integrated Series of Income Data from SCF and SLID 1989-1997"", Statistics Canada, Cat. No. 75F0002MIE - No. 002, and Lathe, Heather, 2005, ""Survey of Labour and Income Dynamics: 2003 Historical Revision"", Statistics Canada, Cat. No. 75F0002MIE - No. 009."
4,"Estimates for Canada do not include the territories.
"

"Correction ID","Correction Date","Correction Note"


